Comment,Designator,Footprint,LCSC
5.1k,"R2,R3",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C118848
1nF,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C7419428 
500mA,F1,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C135341
10uF,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
10k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
100nF,"C1,C2,C3,C4,C5,C7",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233
PRTR5V0U2X,U3,SOT-143_Handsoldering,C2827688
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
AP2112K-3.3,U2,SOT-23-5_HandSoldering,C3021085
BAV70_Small,"D1,D10,D11,D12,D13,D14,D2,D3,D4,D7,D8,D9",SOT-23,C5184417
SKQGABE010,SW2,SW_Push_SPST_NO_Alps_SKRK,C561519
D_Small,"D15,D16,D25,D26,D5,D6",D_SOD-123F,C64898
STM32F072C8Tx,U1,LQFP-48_7x7mm_P0.5mm,C80488
