Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.6375,-80.16875,0.0,bottom
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,160.3375,-80.16875,180.0,bottom
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,160.3375,-89.69375,180.0,bottom
C4,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,160.3375,-92.075,180.0,bottom
C5,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.6375,-89.69375,0.0,bottom
C6,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.6375,-77.7875,0.0,bottom
C7,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.6375,-92.075,0.0,bottom
C8,1nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,148.43125,-71.2,180.0,bottom
D1,BAV70_Small,SOT-23,70.709147,-53.941865,274.0,bottom
D10,BAV70_Small,SOT-23,205.515853,-74.579365,266.0,bottom
D11,BAV70_Small,SOT-23,211.622111,-93.420659,266.0,bottom
D12,BAV70_Small,SOT-23,249.741893,-90.765159,266.0,bottom
D13,BAV70_Small,SOT-23,244.409603,-72.198115,266.0,bottom
D14,BAV70_Small,SOT-23,238.853353,-53.148115,266.0,bottom
D15,D_Small,D_SOD-123F,137.071485,-74.049092,94.0,bottom
D16,D_Small,D_SOD-123F,180.18125,-72.23125,86.0,bottom
D2,BAV70_Small,SOT-23,111.190397,-56.323115,274.0,bottom
D25,D_Small,D_SOD-123F,130.991725,-92.720472,94.0,bottom
D26,D_Small,D_SOD-123F,179.357108,-91.345187,86.0,bottom
D3,BAV70_Small,SOT-23,65.946647,-72.991865,274.0,bottom
D4,BAV70_Small,SOT-23,105.634147,-75.373115,274.0,bottom
D5,D_Small,D_SOD-123F,143.151244,-55.377713,94.0,bottom
D6,D_Small,D_SOD-123F,174.295286,-53.306382,86.0,bottom
D7,BAV70_Small,SOT-23,61.184147,-91.248115,274.0,bottom
D8,BAV70_Small,SOT-23,99.284147,-94.423115,274.0,bottom
D9,BAV70_Small,SOT-23,199.165853,-55.529365,266.0,bottom
F1,500mA,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,150.8125,-54.76875,270.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,155.575,-47.4975,180.0,bottom
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,161.925,-71.4375,180.0,bottom
R2,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,153.9875,-54.76875,270.0,bottom
R3,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,157.95625,-54.76875,270.0,bottom
SW2,SKQGABE010,SW_Push_SPST_NO_Alps_SKRK,161.925,-68.2625,180.0,bottom
U1,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,153.9875,-84.93125,90.0,bottom
U2,AP2112K-3.3,SOT-23-5_HandSoldering,148.43125,-67.23125,270.0,bottom
U3,PRTR5V0U2X,SOT-143_Handsoldering,154.6812,-60.325,270.0,bottom
